stratum,n,bias,rmse,mae,r,r_log,slope,intercept,view,retrieval,qc_mode
tau_mid,73708,6.959659958335553,33.637110121600976,7.300941359833185,-0.012806258829763339,0.06769841362552632,-0.7267519150248207,10.292185614535915,sample,R10,qc_strict
tau_thick,177326,7.139606601790192,41.0139515007263,10.957173850175387,0.07867063684504656,0.18456293241259264,1.6123982098905782,3.3450473442887616,sample,R10,qc_strict
tau_very_thick,95917,-4.626793405641537,42.436851873793046,18.625000318840264,-0.015004193077077664,0.036897355551296904,-0.02704444866268863,16.02482871047087,sample,R10,qc_strict
all,443181,6.615564072092976,43.875973894384735,13.230017799147056,0.02319186555535782,0.3206283708698799,0.08132581175459151,13.275316222183719,sample,R11,qc_strict
ocean,319463,7.253252690227979,43.66312780622419,13.129884525244638,0.031659240172951415,0.35443129399809076,0.13869463023646056,13.294800277681752,sample,R11,qc_strict
land,123718,4.968932870365952,44.4208656969785,13.488580628166988,0.013641382891590077,0.23244577841471428,0.03403700542607434,12.557405627662774,sample,R11,qc_strict
lat_tropics,183660,1.195801460992293,31.38721840499811,8.622382127909821,0.03572791077748977,0.35612903577875843,0.06484145942017155,7.6430170927150725,sample,R11,qc_strict
lat_midlat,229451,9.455514717913625,48.99181765716155,15.78707996688509,0.018838053829274275,0.28493671710725355,0.09717297387626318,16.299154419993858,sample,R11,qc_strict
lat_polar,30070,18.04769195771174,63.56714823891325,21.860476592953887,-0.0032474083353079223,0.22294603067016044,-0.040858348761157286,25.22209197707622,sample,R11,qc_strict
dist_lt2km,339465,5.188430067620794,39.93439984625513,11.684828817699982,0.030570335305474986,0.34272773783209076,0.10024544575022698,11.660686550932352,sample,R11,qc_strict
dist_2_5km,100716,11.22007018362701,54.701035132452844,18.25049430008483,0.006104702965510612,0.27105638686607403,0.02434782598992375,18.485024892947155,sample,R11,qc_strict
dist_ge5km,3000,13.520433171721686,58.99586906589667,19.52843990530757,0.005848335510649507,0.24873804534568997,0.03413063669367705,20.251045501066667,sample,R11,qc_strict
tdiff_lt3min,175989,6.689782432153105,43.80029564333823,13.192513374066928,0.022977283058891403,0.3232269492881839,0.08378642860175936,13.26615571471745,sample,R11,qc_strict
tdiff_ge3min,267192,6.566679318924379,43.92574899937256,13.254720508305363,0.02334340117354326,0.318929566760935,0.07989966955744883,13.280122523606089,sample,R11,qc_strict
water_pure_pixel,0,,,,,,,,sample,R11,qc_strict
water_dominant_pixel,0,,,,,,,,sample,R11,qc_strict
mixed_pixel,0,,,,,,,,sample,R11,qc_strict
